ph,humidity,tempC,mq135,mq7,turbidity,fish_species
7.91,64.7,30.8,153,120,254,Catfish
7.96,54.1,29,184,110,238,Pangasius
8.04,53,27,191,112,238,Pangasius
6.65,56.6,28.5,162,106,292,Common Carp
7.22,50.9,30.7,186,111,203,Snakehead
6.73,64.7,28.5,181,111,226,Silver Carp
8.23,58.8,30.2,194,125,219,Rohu
7.75,58.4,29,150,97,203,Catfish
7.16,59.8,27.4,160,97,264,Grass Carp
6.63,57.5,30.8,175,103,284,Tilapia
7.12,50.5,26.5,152,127,281,Catfish
7.15,59.2,29.1,198,113,216,Mrigal
7.96,60.7,27.3,162,111,251,Silver Carp
7.78,56.3,26.4,181,104,192,Silver Carp
8.27,61.4,29,197,109,259,Rohu
7.44,53.4,29,199,116,228,Tilapia
6.74,53.3,30.2,172,117,208,Pangasius
7.93,52.4,30.5,172,111,294,Tilapia
8.02,55.6,30.4,179,120,287,Grass Carp
7.62,62.7,28.5,155,98,281,Grass Carp
8.04,62.4,29.8,156,112,265,Rohu
7.49,55.7,29.5,196,94,228,Grass Carp
7.55,58.8,28.5,179,128,199,Pangasius
7.36,60.8,29.6,186,106,236,Pangasius
6.55,53.6,31.7,197,129,278,Pangasius
6.72,52.5,27.2,181,94,212,Pangasius
6.56,64.6,31.4,155,96,248,Grass Carp
7.77,59.3,26.3,184,97,279,Common Carp
7.13,64.7,27.9,181,96,272,Common Carp
7.52,55.1,27.7,161,111,291,Catfish
8.32,60.5,29.8,153,127,209,Pangasius
7,53.3,26.8,181,110,234,Silver Carp
7.32,53.9,31.3,184,93,233,Snakehead
8.01,57.7,31,197,121,207,Tilapia
6.96,54.8,29.9,165,118,237,Rohu
6.65,52.5,28.8,164,119,264,Bighead Carp
7.08,53.9,31.6,190,92,278,Bighead Carp
6.82,50.5,31,151,94,296,Snakehead
8.36,60.6,29,155,108,190,Bighead Carp
8.12,57.4,30.2,163,97,221,Snakehead
7.77,51.4,29.4,190,126,286,Silver Carp
8.24,52.6,29.5,178,120,253,Pangasius
8.11,51.5,28,191,116,196,Bighead Carp
6.87,59.2,28.8,175,102,284,Grass Carp
8.29,51.4,26.5,167,95,279,Grass Carp
7.58,61.3,28.1,196,90,260,Bighead Carp
8.11,50.3,30.2,153,119,289,Common Carp
8.29,53.7,31.7,186,100,235,Pangasius
7.14,63.4,31.8,187,120,213,Snakehead
6.72,60.8,29.3,174,105,258,Pangasius
6.96,51.1,29.6,196,104,275,Silver Carp
7.35,62.3,27.1,178,94,297,Grass Carp
8.14,57.4,30.2,183,104,225,Rohu
8.22,62.7,26.4,165,90,256,Common Carp
6.51,59,27.7,186,104,239,Silver Carp
7.52,60.2,30,179,125,248,Catfish
7.33,64.9,27.9,172,128,290,Rohu
6.94,53.5,26.3,185,97,247,Silver Carp
6.74,59.4,31,177,111,291,Bighead Carp
7.18,56.9,27.9,150,116,235,Pangasius
8.39,50.6,26.4,157,123,259,Catfish
7.15,50.2,26.4,191,119,278,Mrigal
7.54,51.8,27.5,164,101,212,Pangasius
7.91,59.7,27.1,183,91,201,Pangasius
7.23,58.5,30.6,168,127,217,Mrigal
8.44,58.3,27.9,193,111,247,Common Carp
8.42,50.5,30.8,179,106,297,Silver Carp
7,57,27,159,124,250,Bighead Carp
7.49,63.9,29,193,112,293,Tilapia
7.1,56,30.1,176,118,285,Grass Carp
7.07,59.4,29.9,169,118,244,Snakehead
6.57,61.7,29.6,174,108,278,Bighead Carp
7.72,61.8,31.5,158,106,223,Catfish
7.51,57.8,27.4,189,97,283,Rohu
6.6,62.9,29,183,96,290,Rohu
7.06,55.9,31.3,170,100,207,Pangasius
8.32,63.3,26.5,173,92,224,Rohu
6.98,53.6,26.3,156,91,237,Rohu
6.79,54.2,27.4,153,108,226,Silver Carp
7.48,50.8,29.8,157,117,230,Rohu
8.47,61.9,27.6,162,117,195,Silver Carp
6.98,56.3,27.1,170,114,272,Rohu
7.84,53.4,28.8,184,100,275,Catfish
8.02,53.5,29.7,154,129,285,Mrigal
6.98,63.5,27.5,157,91,280,Rohu
7.96,62.5,27.8,151,101,269,Pangasius
7.24,58.3,29.7,173,127,279,Catfish
7.76,59.2,31.7,191,101,228,Tilapia
7.77,57.1,30,165,114,193,Mrigal
7.57,55.9,30.7,153,126,205,Rohu
6.68,63.7,28.2,179,120,241,Catfish
8.17,51.9,27.6,195,106,208,Catfish
7.14,56.3,28.7,179,101,281,Silver Carp
6.87,55.2,30.8,184,119,206,Pangasius
6.58,57.5,28.7,191,91,234,Catfish
7.68,56.9,31.1,162,105,191,Pangasius
7.86,57.8,31.9,186,90,191,Tilapia
6.53,52.1,26.4,198,123,277,Bighead Carp
7.52,57.7,26.3,198,90,244,Grass Carp
6.95,53.6,26.9,160,125,280,Silver Carp
7.79,52.8,28.3,168,92,193,Rohu
6.85,51,26.8,167,123,289,Pangasius
7.88,61.4,31.2,166,101,273,Tilapia
7.27,56.4,26.1,160,116,201,Common Carp
8.37,59.4,27.9,164,126,243,Mrigal
6.78,60.9,27.1,157,114,281,Rohu
7.18,60.2,31.6,193,101,249,Catfish
6.73,57.1,30,178,122,218,Grass Carp
8.35,55.8,31.5,166,98,250,Mrigal
8.25,55.6,31.8,175,90,235,Mrigal
7.02,59.6,29,154,112,286,Mrigal
7.82,57.4,27.4,153,117,238,Catfish
8.13,62.7,27.2,173,92,207,Grass Carp
7.61,63.1,27.3,160,127,265,Snakehead
7.56,52.6,30.3,179,125,263,Tilapia
6.98,52,26.2,189,94,213,Common Carp
6.69,59.5,26.3,197,118,206,Snakehead
8.29,54.5,29.6,197,102,296,Pangasius
8.3,50.3,29.9,184,93,285,Common Carp
7.77,63.3,30,193,95,245,Snakehead
7.18,53.4,28.2,194,127,278,Silver Carp
7.2,63.9,30.8,182,95,241,Pangasius
7.95,60.8,29.2,185,100,260,Pangasius
8.29,61.4,26.6,170,116,209,Pangasius
8.27,53,30.8,187,124,218,Bighead Carp
8.06,53.5,31.7,154,129,272,Grass Carp
7.78,57.8,26.4,154,93,264,Catfish
6.67,52.6,28.3,170,116,286,Bighead Carp
6.82,54.6,28.9,174,105,239,Snakehead
8.3,54.8,26.9,159,107,204,Common Carp
7.71,52.4,31.2,168,96,220,Silver Carp
6.52,53.1,27.7,181,100,202,Pangasius
6.7,61.8,30.7,167,97,245,Common Carp
7.83,52.5,30,183,95,208,Silver Carp
6.51,50.4,29.6,197,94,259,Silver Carp
6.82,59.4,27.2,164,95,217,Pangasius
7.6,64.6,27.3,173,127,211,Mrigal
7.88,55,26.3,154,91,217,Catfish
7.8,51.8,27.4,181,120,269,Snakehead
6.95,58.6,28.1,158,128,222,Bighead Carp
7.92,63.6,31,154,121,294,Snakehead
6.97,61.8,28.2,154,98,234,Silver Carp
7.15,59.3,30.5,190,104,237,Grass Carp
7.99,54.7,28.6,190,110,252,Mrigal
7.8,58.1,30.7,183,117,215,Grass Carp
8.2,51.4,31.9,156,116,276,Catfish
7.82,60.2,27.4,175,94,190,Silver Carp
7.64,60.9,31.2,150,106,251,Silver Carp
6.69,64.5,29.7,183,126,282,Grass Carp
7.24,53.9,30.9,175,113,261,Rohu
7.03,50.3,29.9,181,120,295,Silver Carp
6.99,58.2,28.5,161,124,292,Bighead Carp
8.45,60.6,27.4,155,93,192,Bighead Carp
7.29,61.9,26.4,169,109,266,Bighead Carp
8.28,52.9,29.2,168,106,273,Pangasius
7.76,53.9,31.9,165,99,296,Mrigal
8.09,57.7,30.4,153,126,194,Tilapia
7.51,55,28,181,110,234,Tilapia
7.65,62.9,31,167,110,201,Common Carp
7.49,57.1,30.6,154,105,237,Silver Carp
6.89,62,27.7,199,122,270,Catfish
7.94,58.7,26.1,155,99,203,Grass Carp
7.06,61.6,26.7,163,107,242,Grass Carp
6.55,55,31.3,198,122,279,Pangasius
7.79,62.5,31,167,118,283,Mrigal
6.85,54.1,27.8,159,120,295,Rohu
8.38,58.2,27.7,172,113,234,Common Carp
8.41,53.2,30.8,167,101,221,Catfish
8.33,57.1,31.6,153,109,219,Bighead Carp
7.24,54.8,30.7,181,95,201,Common Carp
6.53,54,29.6,196,97,289,Tilapia
8.36,64.5,27.5,155,103,272,Grass Carp
7.36,52.4,29.2,175,94,233,Catfish
8.43,61.8,27.4,155,125,214,Snakehead
8.43,64.8,30.8,184,127,286,Silver Carp
8.21,50.3,28.3,190,92,231,Bighead Carp
7.09,60.5,31,192,125,210,Rohu
7.27,53.8,28.3,154,111,250,Silver Carp
8.2,50.6,30.9,163,97,255,Snakehead
7.13,56,28,151,103,290,Catfish
6.84,64,28.6,189,96,210,Grass Carp
7.61,50.2,29.7,162,93,215,Catfish
8.37,58.8,26.4,154,108,221,Mrigal
7.89,57.5,31.7,196,113,280,Common Carp
7.64,63.1,29.4,185,105,206,Common Carp
6.69,51.3,29,185,95,193,Common Carp
7.73,60.2,31,199,97,228,Bighead Carp
8.48,60.2,31.2,168,114,204,Catfish
6.78,60,29.1,169,121,222,Pangasius
7.54,64.1,31.6,171,114,250,Grass Carp
8.25,62.3,26.4,180,99,203,Snakehead
7.98,50.6,26.7,190,106,279,Pangasius
7.89,57.1,29.6,196,92,236,Bighead Carp
7.9,56,28.1,193,98,191,Tilapia
7.22,54.7,28.8,153,107,273,Catfish
7.09,56.8,28,152,119,279,Pangasius
8.12,55.8,28.4,186,94,255,Common Carp
8.12,56.5,30.9,174,121,237,Rohu
8.23,64.7,29.6,198,116,253,Tilapia
8.33,51.3,32,186,110,255,Common Carp
7.52,63.8,30.7,153,113,237,Catfish
7.5,57.2,27.6,188,127,270,Pangasius
8.1,59.4,27.6,156,92,207,Grass Carp
7.8,62.5,28,156,105,240,Snakehead
7.9,55.4,31.1,198,104,193,Grass Carp
8.09,56.5,26.2,174,114,270,Bighead Carp
8.28,56.1,27.4,164,97,222,Common Carp
7.18,55.6,31.4,156,93,212,Tilapia
7.25,63.9,29.8,196,121,242,Grass Carp
6.69,62.4,27.4,153,124,202,Snakehead
7.66,51.6,27.3,183,119,260,Pangasius
6.57,51.6,31.2,194,128,247,Catfish
7.43,56.4,31.4,193,119,294,Grass Carp
7.59,51.5,27.5,191,106,299,Catfish
7.07,59.3,28.5,168,108,252,Tilapia
7.68,52.2,31,196,120,254,Tilapia
6.56,57.8,30.6,198,106,293,Bighead Carp
6.57,50.1,30.9,187,91,231,Bighead Carp
8.15,54.7,29.1,176,126,284,Grass Carp
7.22,60.2,31.5,154,118,289,Mrigal
6.75,57.3,28,162,119,278,Snakehead
7.54,64.7,26.9,195,111,298,Common Carp
8.04,63.1,30.3,163,127,294,Silver Carp
6.93,55.4,29.2,179,100,229,Snakehead
7.75,50.7,31.1,196,122,283,Catfish
6.67,62.7,26.5,197,108,291,Bighead Carp
6.6,63.7,31.1,159,92,210,Common Carp
7.56,62.3,27.8,181,129,272,Grass Carp
7.58,51.9,29.9,150,111,269,Snakehead
7.77,65,26.2,173,107,222,Catfish
7.95,53.9,29.7,178,119,259,Catfish
8.45,60.9,30.3,192,90,231,Rohu
7.53,63.6,28.2,156,109,226,Pangasius
7.15,53.5,27.3,180,94,261,Tilapia
8.09,63.6,29.2,166,101,190,Silver Carp
7.04,54.6,31,179,100,266,Snakehead
7.38,64.6,27.9,174,113,215,Rohu
6.66,54.2,27.5,177,107,269,Common Carp
6.55,64.3,27.7,185,97,228,Common Carp
8.43,50.8,31.7,156,118,236,Snakehead
8.17,60.6,28.2,184,111,245,Silver Carp
7.89,58,26,169,91,299,Bighead Carp
7.32,57.2,30.7,163,112,247,Snakehead
6.85,53.4,30.2,199,105,217,Mrigal
6.81,60.6,26.8,199,97,246,Bighead Carp
7,52.9,31.9,179,93,276,Pangasius
7.6,58.3,29.6,150,103,260,Mrigal
7.93,53.8,29,187,98,277,Snakehead
7.82,64.3,28.3,190,100,299,Catfish
7.06,50.4,31.4,174,127,261,Silver Carp
8.41,53,27.5,183,105,234,Mrigal
7.98,53.6,27.7,157,102,254,Catfish
7.61,56.2,26.7,169,125,193,Catfish
7.72,53.5,30.6,179,125,250,Rohu
7.34,57.4,29.6,153,106,250,Catfish
7,63.1,29.7,170,103,232,Grass Carp
7.21,60.7,27.3,176,118,294,Grass Carp
8.02,58.7,29.9,159,106,208,Tilapia
6.53,51.3,30.6,172,90,275,Pangasius
6.73,60.4,28.1,182,109,289,Common Carp
6.59,52.5,30.8,160,122,190,Common Carp
6.58,61.8,28.1,190,91,208,Silver Carp
8.21,53.8,30.5,168,106,240,Grass Carp
7.91,56.3,26.2,160,112,253,Catfish
7.45,55.3,29.3,153,111,252,Silver Carp
6.7,62.9,31.8,172,90,218,Grass Carp
7.48,51.9,31.9,154,101,208,Mrigal
7.45,58.5,27.7,198,102,232,Snakehead
6.85,52.1,28.6,199,103,259,Tilapia
7.37,60.6,26.4,154,99,278,Common Carp
7.3,63.6,31.2,167,101,228,Silver Carp
7.73,56.5,29.4,166,111,212,Snakehead
7.77,57.3,28.3,152,107,190,Silver Carp
6.59,63.9,26.7,192,128,250,Tilapia
7.25,57.8,31.7,198,108,268,Bighead Carp
7.75,57.3,29.2,157,119,214,Common Carp
7.51,58.7,27.7,189,104,193,Catfish
8.21,60.3,28.1,172,128,298,Silver Carp
7.82,51.6,27.6,172,103,297,Mrigal
6.83,62.3,29.6,151,98,190,Common Carp
6.64,56.5,31.6,188,94,229,Catfish
7.78,51.1,31.1,170,122,210,Common Carp
6.55,61.8,28.8,173,94,232,Pangasius
7.67,55.7,31,187,113,199,Mrigal
8.38,51.5,28.5,169,97,255,Bighead Carp
7.65,59.5,27.5,199,108,206,Common Carp
7.28,63.2,31.9,188,101,202,Mrigal
7.79,63.3,27.8,199,97,280,Snakehead
7.42,64.4,27.9,176,97,294,Common Carp
7.59,63,31.9,193,127,281,Common Carp
8.38,50,26.8,188,109,199,Tilapia
7.27,55.7,30.6,156,118,241,Silver Carp
8.42,62.3,31.6,182,123,199,Snakehead
8.31,55.5,29.1,178,107,299,Silver Carp
6.89,59,26,159,90,236,Grass Carp
6.64,59.1,28.3,159,100,198,Tilapia
6.7,55.5,26.7,161,124,287,Common Carp
6.54,63.6,28.5,152,121,235,Mrigal
6.69,57.5,30.7,152,105,292,Silver Carp
7.87,57,28.6,162,95,257,Grass Carp
6.64,65,28.6,194,98,298,Bighead Carp
7.14,57.4,29.3,180,129,243,Rohu
8.19,52.7,29.5,176,111,257,Rohu
6.55,57.7,31.1,155,97,193,Grass Carp
8.13,62.2,27.9,176,121,294,Common Carp
7.06,61.7,30.9,184,115,264,Catfish
6.74,61.8,29.4,196,107,190,Mrigal
7.89,60.6,27.8,158,126,298,Catfish
7.76,53.8,27.8,155,101,274,Grass Carp
8.25,62.9,28.2,155,127,248,Catfish
7.97,63.4,29.7,189,123,214,Bighead Carp
8.11,52.9,27.4,175,93,198,Grass Carp
7.06,52,31.5,192,105,214,Silver Carp
6.85,64.6,29.4,168,113,271,Bighead Carp
8,63,31.5,165,103,260,Catfish
8.11,63.4,26.3,190,106,299,Grass Carp
8.48,63.3,28.1,172,120,215,Pangasius
7.33,58.1,26.1,160,93,245,Tilapia
7.24,59.7,27.6,165,123,238,Tilapia
8.05,58.2,31.2,178,127,271,Common Carp
7.18,50.8,26.2,187,127,254,Pangasius
8.36,61.2,28.6,198,92,250,Grass Carp
8.22,57.6,26.7,197,97,198,Silver Carp
7.36,59.7,28.5,169,101,199,Silver Carp
8,57.5,31,170,124,200,Bighead Carp
8.01,57.4,29.7,177,91,285,Silver Carp
6.71,52.6,30.4,199,118,274,Catfish
8.31,54.2,28.1,182,112,225,Common Carp
7.51,52.4,31.7,199,122,245,Snakehead
8.15,52.9,30.3,189,107,221,Bighead Carp
7.14,64.6,28.5,175,129,272,Common Carp
8.29,52.3,28.6,159,111,261,Mrigal
7.28,54,31.5,183,103,224,Snakehead
6.52,58.9,29.5,158,118,275,Rohu
8.31,59.2,30.2,185,104,193,Bighead Carp
6.68,52.3,28.5,160,104,282,Common Carp
7.14,61.9,27.3,159,93,251,Snakehead
8.4,61.8,30.3,195,125,252,Grass Carp
8.4,53.6,29.6,156,94,284,Snakehead
7.65,54.3,29,187,92,197,Common Carp
7.76,64.1,29.7,165,101,265,Rohu
7.4,62.4,27.2,175,109,258,Snakehead
7.09,60.5,30.8,181,109,250,Common Carp
7.16,51.2,31.7,180,128,283,Rohu
7.85,56.3,31.3,181,128,252,Catfish
8,58.4,27.9,194,90,250,Tilapia
8.08,52.8,28.4,161,92,288,Pangasius
8.08,56.7,30.9,176,98,226,Rohu
6.68,59,29.6,171,109,193,Snakehead
7.49,54.9,29.3,164,98,245,Catfish
6.62,61.7,31.6,157,120,232,Rohu
7.6,62.6,29.2,153,117,210,Mrigal
7.38,54.9,29.1,157,124,247,Rohu
8.28,62.6,26.3,172,129,205,Grass Carp
7.2,51.6,26.4,165,127,242,Catfish
6.73,62.6,26,197,91,207,Mrigal
6.79,52.3,31.5,183,92,246,Pangasius
8.02,51.2,28.5,171,103,284,Bighead Carp
7.74,59.6,28.8,198,106,227,Mrigal
6.7,57.1,31.1,172,124,221,Grass Carp
6.67,63.6,29.7,154,93,286,Mrigal
7.9,55.4,29.7,186,119,208,Tilapia
6.65,54.3,27.8,193,128,273,Bighead Carp
8.14,57.5,31,156,103,237,Silver Carp
7.91,56.8,27,186,116,263,Grass Carp
6.66,55.2,26.3,175,102,215,Silver Carp
6.67,60.4,27.1,177,109,299,Tilapia
8.47,61.4,27.6,153,113,271,Catfish
7.25,62.8,27.7,198,99,234,Catfish
7.24,64.6,30,181,96,234,Bighead Carp
8.13,54,27.3,187,106,204,Pangasius
8.39,60.7,30.1,195,111,289,Rohu
8.47,55.9,26.5,158,100,207,Grass Carp
8.01,60.2,26.9,185,112,220,Tilapia
7.25,57.1,29.1,175,111,204,Common Carp
6.67,64.9,31.5,160,129,291,Common Carp
8.05,60.9,31.2,169,107,282,Mrigal
7.62,64.3,31.8,197,115,295,Tilapia
7.35,62.5,29.9,197,119,204,Bighead Carp
8.31,63.5,30.1,197,102,254,Catfish
6.72,62.2,29.8,187,93,290,Tilapia
7.49,56.9,29.7,164,116,294,Tilapia
6.52,53.8,26.9,184,129,276,Mrigal
7.44,55.6,29.3,158,99,235,Rohu
6.61,50.3,28.3,182,117,264,Pangasius
6.74,57.9,28.7,160,110,291,Pangasius
6.74,57.6,29.1,171,100,205,Catfish
7.8,57.9,26.8,155,109,244,Catfish
7.99,64.6,28.2,186,125,219,Tilapia
7.67,63.7,26.4,199,108,282,Bighead Carp
8.42,52.4,31.9,170,99,230,Tilapia
7.25,55.5,26.7,161,104,256,Pangasius
7.07,56.4,27.6,156,107,293,Bighead Carp
8.24,55.4,31.3,151,96,206,Pangasius
6.95,62,28.9,188,119,215,Pangasius
8.43,57.9,26.8,190,103,262,Grass Carp
6.52,58.6,28.3,173,126,270,Silver Carp
8.44,62.8,26.7,175,119,290,Tilapia
6.59,62.1,27.2,174,116,253,Rohu
8.28,52,26.3,169,126,284,Pangasius
7.56,60.7,28.6,189,106,247,Catfish
8.49,56.5,30.8,190,119,284,Tilapia
6.65,54.4,29.5,191,107,264,Tilapia
7.61,50.8,29.6,193,92,291,Tilapia
8.44,57.3,27.2,151,117,275,Snakehead
7.55,55.3,28.1,191,126,299,Snakehead
7.76,53.8,31.1,184,119,192,Tilapia
7.89,60.4,26.5,182,110,217,Pangasius
7.41,61.5,31.1,166,109,285,Snakehead
7.76,53.7,28.9,171,111,193,Grass Carp
7.67,50.7,31,150,125,229,Grass Carp
8.3,62.7,27.9,186,125,291,Grass Carp
6.59,50.1,28,179,110,264,Mrigal
7.06,64.1,30.5,195,113,246,Common Carp
8.4,59.4,30.7,155,110,254,Silver Carp
8.28,54.8,27.4,190,96,236,Common Carp
7.41,53.7,31.8,163,97,269,Mrigal
7.74,50.1,26.5,185,111,223,Snakehead
7.05,53.5,26.4,182,111,234,Mrigal
6.88,52.1,29.6,187,119,221,Common Carp
7.43,59.2,30.3,188,123,233,Common Carp
7.21,52.5,31.8,155,118,299,Bighead Carp
7.67,57.9,28.4,175,99,286,Silver Carp
6.66,58.9,26.2,173,94,200,Mrigal
8.45,54.5,29.6,182,128,225,Catfish
8.47,50.5,27.7,157,123,202,Mrigal
7.9,50.6,28.6,193,127,246,Tilapia
7.57,50.4,28.9,192,99,273,Bighead Carp
7.12,61.1,26.4,183,98,214,Tilapia
8.13,54.8,28.9,183,121,259,Mrigal
7.87,61.9,28.6,173,94,226,Rohu
6.83,56.5,30.3,151,124,279,Grass Carp
8.32,56.8,29.9,157,100,193,Snakehead
8.15,57.7,27.1,174,105,298,Common Carp
8.4,60.7,27.2,179,116,215,Snakehead
7.95,54.1,27.5,181,109,271,Rohu
7.73,51.8,27.1,179,90,202,Bighead Carp
7.34,58.3,29.9,156,115,261,Rohu
8.37,54.9,32,197,100,240,Mrigal
8.23,56.6,29.9,173,104,236,Mrigal
6.59,59.7,29.6,158,128,222,Rohu
6.55,57.4,28.5,165,129,296,Rohu
7.25,59.3,27.9,151,107,269,Snakehead
8.12,58.2,31.5,184,113,231,Silver Carp
8.47,61.1,31.8,183,117,292,Mrigal
6.8,60.6,29,171,114,220,Pangasius
7.69,58,27.7,168,112,229,Silver Carp
7.26,60.2,30.6,198,100,276,Silver Carp
8.44,63.1,26.8,170,122,205,Pangasius
8.18,56.5,30.6,161,105,245,Mrigal
8.18,56.2,30.9,160,125,263,Pangasius
7.44,61.5,26.7,168,112,225,Common Carp
7.33,58.7,31.9,155,95,284,Bighead Carp
7.05,51.1,31.9,191,113,297,Common Carp
6.61,63.4,31.6,163,127,285,Bighead Carp
8.23,50.5,29,182,95,274,Snakehead
8.13,61.2,27.5,196,99,269,Tilapia
8.5,61.4,29.5,187,111,245,Rohu
8.49,64.3,28.5,162,112,282,Pangasius
7.61,50.8,27.2,175,94,237,Rohu
8.04,59,28.5,163,117,298,Catfish
8.39,56.4,30,194,98,269,Silver Carp
8.2,55,26.4,173,128,247,Tilapia
6.99,51.4,28,197,117,204,Silver Carp
7.4,58.4,26.1,150,114,261,Mrigal
6.76,57.2,30.5,195,127,204,Bighead Carp
8.41,51.6,29.8,194,116,210,Snakehead
7.71,59.2,26.4,179,113,253,Pangasius
6.96,61.1,31.8,159,105,274,Grass Carp
7.84,61.5,26.1,159,91,196,Rohu
7.74,63.6,29.5,177,91,241,Mrigal
7.22,56.1,30.7,153,94,208,Catfish
6.73,64.3,30.7,163,110,275,Mrigal
7.84,63,26.2,161,99,235,Common Carp
7.54,54.4,31.4,187,107,227,Catfish
8.04,52.4,31.5,196,115,202,Catfish
7.54,56.5,29.4,186,109,279,Catfish
8.2,56,28.9,159,125,233,Tilapia
7.6,58.6,26.3,190,110,211,Common Carp
7.62,58.8,29.4,176,91,260,Mrigal
8.25,61.2,28.5,191,122,224,Common Carp
7.31,57.6,30.6,161,112,192,Grass Carp
6.77,51.6,28.4,171,128,288,Bighead Carp
6.56,62.9,30.1,153,120,205,Catfish
8.01,54.6,26.6,178,93,234,Silver Carp
7.74,64.6,26.8,185,92,205,Catfish
7.91,51.8,26.8,194,126,255,Rohu
6.93,64.4,26.3,163,99,291,Catfish
6.77,51.4,29.2,161,121,270,Mrigal
6.53,53.5,30.8,194,125,227,Snakehead
7.2,50.7,29.7,169,116,213,Pangasius
7.68,60.6,29.4,194,108,275,Silver Carp
7.28,62.8,30.1,172,127,239,Silver Carp
7.37,56.5,28,171,90,276,Bighead Carp
8.31,63.9,28.2,183,115,297,Catfish
7.2,58.9,27.9,170,102,272,Tilapia
7.53,59.5,30.3,158,124,246,Pangasius
8.07,62.7,27,159,91,297,Mrigal
7.29,54.5,26.1,198,111,245,Mrigal
7.74,55.3,29.6,159,128,275,Pangasius
8.22,63.6,31.7,194,117,270,Rohu
8.4,63.5,29.7,179,91,255,Rohu
6.79,64.6,30.7,182,100,267,Catfish
8.35,63.5,30,151,126,281,Catfish
7.48,51.9,29,198,115,266,Catfish
7.02,62.4,30.3,181,117,291,Common Carp
7.42,56.1,30.9,194,115,270,Snakehead
8.46,64.9,27.3,166,106,262,Bighead Carp
7.49,57.1,28,177,92,251,Snakehead
7.16,58.3,27.3,194,103,293,Common Carp
7.77,57.9,28.7,166,105,203,Mrigal
